User country,Score,Traveler type,Pool,Casino,Hotel name,Review month
USA,5,Families,YES,YES,The Cosmopolitan Las Vegas,December
Mexico,3,Couples,YES,YES,The Palazzo Resort Hotel Casino,January
USA,5,Families,YES,YES,The Palazzo Resort Hotel Casino,January
Canada,5,Couples,YES,YES,The Palazzo Resort Hotel Casino,February
USA,4,Couples,YES,YES,The Palazzo Resort Hotel Casino,February
Canada,5,Families,YES,YES,The Palazzo Resort Hotel Casino,March
Canada,5,Families,YES,YES,The Palazzo Resort Hotel Casino,March
USA,4,Couples,YES,YES,The Palazzo Resort Hotel Casino,April
Canada,5,Couples,YES,YES,The Palazzo Resort Hotel Casino,April
France,5,Couples,YES,YES,The Palazzo Resort Hotel Casino,May
UK,5,Business,YES,YES,The Palazzo Resort Hotel Casino,May
USA,4,Friends,YES,YES,The Palazzo Resort Hotel Casino,June
USA,3,Couples,YES,YES,The Palazzo Resort Hotel Casino,June
Spain,4,Friends,YES,YES,The Palazzo Resort Hotel Casino,July
USA,5,Families,YES,YES,The Palazzo Resort Hotel Casino,July
UK,4,Friends,YES,YES,The Palazzo Resort Hotel Casino,August
USA,4,Business,YES,YES,The Palazzo Resort Hotel Casino,August
UK,3,Friends,YES,YES,The Palazzo Resort Hotel Casino,September
USA,5,Families,YES,YES,The Palazzo Resort Hotel Casino,September
Canada,5,Families,YES,YES,The Palazzo Resort Hotel Casino,October
Australia,5,Couples,YES,YES,The Palazzo Resort Hotel Casino,October
Singapore,5,Friends,YES,YES,The Palazzo Resort Hotel Casino,November
Brazil,3,Families,YES,YES,The Palazzo Resort Hotel Casino,November
USA,5,Couples,YES,YES,The Palazzo Resort Hotel Casino,December
USA,4,Families,YES,YES,The Palazzo Resort Hotel Casino,December
USA,5,Couples,YES,YES,Wynn Las Vegas,January
USA,5,Families,YES,YES,Wynn Las Vegas,January
Canada,4,Couples,YES,YES,Wynn Las Vegas,February
USA,5,Couples,YES,YES,Wynn Las Vegas,February
USA,5,Friends,YES,YES,Wynn Las Vegas,March
USA,4,Business,YES,YES,Wynn Las Vegas,March
USA,5,Business,YES,YES,Wynn Las Vegas,April
USA,4,Couples,YES,YES,Wynn Las Vegas,April
Singapore,3,Solo,YES,YES,Wynn Las Vegas,May
UK,5,Couples,YES,YES,Wynn Las Vegas,May
USA,5,Couples,YES,YES,Wynn Las Vegas,June
USA,5,Couples,YES,YES,Wynn Las Vegas,June
USA,5,Couples,YES,YES,Wynn Las Vegas,July
Canada,5,Couples,YES,YES,Wynn Las Vegas,July
Canada,5,Couples,YES,YES,Wynn Las Vegas,August
Finland,5,Solo,YES,YES,Wynn Las Vegas,August
Canada,2,Business,YES,YES,Wynn Las Vegas,September
Canada,5,Friends,YES,YES,Wynn Las Vegas,September
USA,4,Couples,YES,YES,Wynn Las Vegas,October
UK,5,Couples,YES,YES,Wynn Las Vegas,October
Costa Rica,5,Business,YES,YES,Wynn Las Vegas,November
UK,5,Couples,YES,YES,Wynn Las Vegas,November
UK,5,Couples,YES,YES,Wynn Las Vegas,December
USA,5,Couples,YES,YES,Wynn Las Vegas,December
UK,5,Solo,YES,YES,Trump International Hotel Las Vegas,January
India,5,Business,YES,YES,Trump International Hotel Las Vegas,January
USA,5,Business,YES,YES,Trump International Hotel Las Vegas,February
USA,5,Families,YES,YES,Trump International Hotel Las Vegas,February
USA,5,Couples,YES,YES,Trump International Hotel Las Vegas,March
USA,3,Couples,YES,YES,Trump International Hotel Las Vegas,March
United Arab Emirates,4,Couples,YES,YES,Trump International Hotel Las Vegas,April
USA,5,Couples,YES,YES,Trump International Hotel Las Vegas,April
Singapore,4,Families,YES,YES,Trump International Hotel Las Vegas,May
Brazil,5,Families,YES,YES,Trump International Hotel Las Vegas,May
USA,5,Couples,YES,YES,Trump International Hotel Las Vegas,June
USA,5,Business,YES,YES,Trump International Hotel Las Vegas,June
Canada,5,Families,YES,YES,Trump International Hotel Las Vegas,July
USA,4,Families,YES,YES,Trump International Hotel Las Vegas,July
Iran,4,Couples,YES,YES,Trump International Hotel Las Vegas,August
USA,5,Couples,YES,YES,Trump International Hotel Las Vegas,August
UK,5,Families,YES,YES,Trump International Hotel Las Vegas,September
Egypt,1,Families,YES,YES,Trump International Hotel Las Vegas,September
Ireland,5,Friends,YES,YES,Trump International Hotel Las Vegas,October
Australia,5,Couples,YES,YES,Trump International Hotel Las Vegas,October
Germany,2,Couples,YES,YES,Trump International Hotel Las Vegas,November
Australia,4,Families,YES,YES,Trump International Hotel Las Vegas,November
USA,4,Business,YES,YES,Trump International Hotel Las Vegas,December
USA,5,Couples,YES,YES,Trump International Hotel Las Vegas,December
Saudi Arabia,3,Business,YES,YES,The Cromwell,January
USA,4,Business,YES,YES,The Cromwell,January
USA,5,Families,YES,YES,The Cromwell,February
USA,5,Couples,YES,YES,The Cromwell,February
USA,2,Solo,YES,YES,The Cromwell,March
USA,5,Friends,YES,YES,The Cromwell,March
Canada,5,Couples,YES,YES,The Cromwell,April
Canada,2,Families,YES,YES,The Cromwell,April
USA,5,Friends,YES,YES,The Cromwell,May
USA,5,Couples,YES,YES,The Cromwell,May
USA,5,Friends,YES,YES,The Cromwell,June
USA,5,Couples,YES,YES,The Cromwell,June
USA,5,Couples,YES,YES,The Cromwell,July
USA,1,Friends,YES,YES,The Cromwell,July
Netherlands,5,Couples,YES,YES,The Cromwell,August
UK,4,Families,YES,YES,The Cromwell,August
USA,5,Couples,YES,YES,The Cromwell,September
Australia,4,Business,YES,YES,The Cromwell,September
USA,3,Families,YES,YES,The Cromwell,October
Norway,5,Friends,YES,YES,The Cromwell,October
Canada,3,Couples,YES,YES,The Cromwell,November
USA,4,Business,YES,YES,The Cromwell,November
Canada,4,Couples,YES,YES,The Cromwell,December
USA,4,Couples,YES,YES,The Cromwell,December
Thailand,1,Business,YES,YES,Encore at wynn Las Vegas,January
USA,5,Couples,YES,YES,Encore at wynn Las Vegas,January
UK,4,Couples,YES,YES,Encore at wynn Las Vegas,February
USA,5,Business,YES,YES,Encore at wynn Las Vegas,February
USA,5,Couples,YES,YES,Encore at wynn Las Vegas,March
USA,4,Friends,YES,YES,Encore at wynn Las Vegas,March
UK,3,Families,YES,YES,Encore at wynn Las Vegas,April
Honduras,4,Friends,YES,YES,Encore at wynn Las Vegas,April
USA,5,Business,YES,YES,Encore at wynn Las Vegas,May
UK,5,Friends,YES,YES,Encore at wynn Las Vegas,May
UK,5,Couples,YES,YES,Encore at wynn Las Vegas,June
USA,4,Business,YES,YES,Encore at wynn Las Vegas,June
USA,5,Friends,YES,YES,Encore at wynn Las Vegas,July
USA,5,Families,YES,YES,Encore at wynn Las Vegas,July
UK,5,Families,YES,YES,Encore at wynn Las Vegas,August
USA,5,Families,YES,YES,Encore at wynn Las Vegas,August
USA,5,Couples,YES,YES,Encore at wynn Las Vegas,September
UK,5,Friends,YES,YES,Encore at wynn Las Vegas,September
USA,5,Couples,YES,YES,Encore at wynn Las Vegas,October
UK,4,Business,YES,YES,Encore at wynn Las Vegas,October
India,5,Couples,YES,YES,Encore at wynn Las Vegas,November
USA,5,Couples,YES,YES,Encore at wynn Las Vegas,November
USA,5,Friends,YES,YES,Encore at wynn Las Vegas,December
USA,5,Business,YES,YES,Encore at wynn Las Vegas,December
USA,5,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,January
USA,2,Families,YES,YES,Hilton Grand Vacations on the Boulevard,January
Mexico,5,Business,YES,YES,Hilton Grand Vacations on the Boulevard,February
Canada,5,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,February
UK,5,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,March
Netherlands,4,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,March
Australia,4,Business,YES,YES,Hilton Grand Vacations on the Boulevard,April
Canada,4,Families,YES,YES,Hilton Grand Vacations on the Boulevard,April
Brazil,5,Families,YES,YES,Hilton Grand Vacations on the Boulevard,May
USA,1,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,May
USA,5,Friends,YES,YES,Hilton Grand Vacations on the Boulevard,June
USA,5,Solo,YES,YES,Hilton Grand Vacations on the Boulevard,June
Finland,4,Families,YES,YES,Hilton Grand Vacations on the Boulevard,July
UK,5,Families,YES,YES,Hilton Grand Vacations on the Boulevard,July
USA,4,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,August
UK,5,Families,YES,YES,Hilton Grand Vacations on the Boulevard,August
Canada,5,Families,YES,YES,Hilton Grand Vacations on the Boulevard,September
USA,5,Solo,YES,YES,Hilton Grand Vacations on the Boulevard,September
UK,2,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,October
USA,4,Business,YES,YES,Hilton Grand Vacations on the Boulevard,October
USA,3,Families,YES,YES,Hilton Grand Vacations on the Boulevard,November
Mexico,4,Families,YES,YES,Hilton Grand Vacations on the Boulevard,November
USA,5,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,December
Australia,4,Couples,YES,YES,Hilton Grand Vacations on the Boulevard,December
Canada,4,Business,YES,YES,Marriott's Grand Chateau,January
USA,4,Business,YES,YES,Marriott's Grand Chateau,January
USA,5,Families,YES,YES,Marriott's Grand Chateau,February
USA,5,Business,YES,YES,Marriott's Grand Chateau,February
UK,4,Friends,YES,YES,Marriott's Grand Chateau,March
Germany,5,Business,YES,YES,Marriott's Grand Chateau,March
Canada,5,Couples,YES,YES,Marriott's Grand Chateau,April
USA,4,Couples,YES,YES,Marriott's Grand Chateau,April
Australia,4,Couples,YES,YES,Marriott's Grand Chateau,May
Canada,4,Business,YES,YES,Marriott's Grand Chateau,May
USA,5,Families,YES,YES,Marriott's Grand Chateau,June
Australia,5,Families,YES,YES,Marriott's Grand Chateau,June
USA,5,Couples,YES,YES,Marriott's Grand Chateau,July
Denmark,5,Couples,YES,YES,Marriott's Grand Chateau,July
Taiwan,5,Families,YES,YES,Marriott's Grand Chateau,August
Israel,5,Families,YES,YES,Marriott's Grand Chateau,August
Hawaii,5,Friends,YES,YES,Marriott's Grand Chateau,September
USA,5,Friends,YES,YES,Marriott's Grand Chateau,September
Thailand,3,Business,YES,YES,Marriott's Grand Chateau,October
Mexico,5,Families,YES,YES,Marriott's Grand Chateau,October
Kuwait,4,Couples,YES,YES,Marriott's Grand Chateau,November
Norway,4,Couples,YES,YES,Marriott's Grand Chateau,November
USA,5,Couples,YES,YES,Marriott's Grand Chateau,December
Germany,4,Families,YES,YES,Marriott's Grand Chateau,December
USA,5,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,January
USA,5,Friends,YES,YES,Tuscany Las Vegas Suites & Casino,January
UK,3,Business,YES,YES,Tuscany Las Vegas Suites & Casino,February
USA,5,Business,YES,YES,Tuscany Las Vegas Suites & Casino,February
USA,5,Friends,YES,YES,Tuscany Las Vegas Suites & Casino,March
USA,5,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,March
Brazil,5,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,April
USA,4,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,April
India,2,Families,YES,YES,Tuscany Las Vegas Suites & Casino,May
USA,3,Business,YES,YES,Tuscany Las Vegas Suites & Casino,May
Malaysia,5,Friends,YES,YES,Tuscany Las Vegas Suites & Casino,June
USA,3,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,June
Germany,5,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,July
Canada,4,Business,YES,YES,Tuscany Las Vegas Suites & Casino,July
Canada,3,Business,YES,YES,Tuscany Las Vegas Suites & Casino,August
USA,4,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,August
Australia,5,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,September
USA,5,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,September
UK,3,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,October
Canada,5,Business,YES,YES,Tuscany Las Vegas Suites & Casino,October
USA,4,Couples,YES,YES,Tuscany Las Vegas Suites & Casino,November
USA,3,Business,YES,YES,Tuscany Las Vegas Suites & Casino,November
Canada,5,Families,YES,YES,Tuscany Las Vegas Suites & Casino,December
USA,5,Friends,YES,YES,Tuscany Las Vegas Suites & Casino,December
USA,3,Business,YES,NO,Hilton Grand Vacations at the Flamingo,January
USA,5,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,January
UK,2,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,February
USA,2,Families,YES,NO,Hilton Grand Vacations at the Flamingo,February
USA,5,Friends,YES,NO,Hilton Grand Vacations at the Flamingo,March
Hawaii,5,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,March
Hawaii,3,Families,YES,NO,Hilton Grand Vacations at the Flamingo,April
Canada,3,Families,YES,NO,Hilton Grand Vacations at the Flamingo,April
USA,3,Friends,YES,NO,Hilton Grand Vacations at the Flamingo,May
Canada,3,Families,YES,NO,Hilton Grand Vacations at the Flamingo,May
USA,5,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,June
Australia,4,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,June
USA,3,Families,YES,NO,Hilton Grand Vacations at the Flamingo,July
Canada,5,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,July
USA,4,Families,YES,NO,Hilton Grand Vacations at the Flamingo,August
USA,5,Families,YES,NO,Hilton Grand Vacations at the Flamingo,August
Canada,5,Friends,YES,NO,Hilton Grand Vacations at the Flamingo,September
USA,4,Business,YES,NO,Hilton Grand Vacations at the Flamingo,September
Australia,4,Families,YES,NO,Hilton Grand Vacations at the Flamingo,October
India,4,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,October
Czech Republic,4,Business,YES,NO,Hilton Grand Vacations at the Flamingo,November
USA,5,Business,YES,NO,Hilton Grand Vacations at the Flamingo,November
USA,4,Couples,YES,NO,Hilton Grand Vacations at the Flamingo,December
Mexico,5,Families,YES,NO,Hilton Grand Vacations at the Flamingo,December
USA,4,Friends,YES,NO,Wyndham Grand Desert,January
Australia,5,Families,YES,NO,Wyndham Grand Desert,January
USA,5,Couples,YES,NO,Wyndham Grand Desert,February
Canada,5,Couples,YES,NO,Wyndham Grand Desert,February
USA,5,Friends,YES,NO,Wyndham Grand Desert,March
USA,4,Couples,YES,NO,Wyndham Grand Desert,March
Canada,5,Families,YES,NO,Wyndham Grand Desert,April
USA,5,Couples,YES,NO,Wyndham Grand Desert,April
Australia,4,Families,YES,NO,Wyndham Grand Desert,May
USA,4,Business,YES,NO,Wyndham Grand Desert,May
UK,5,Couples,YES,NO,Wyndham Grand Desert,June
India,5,Families,YES,NO,Wyndham Grand Desert,June
UK,5,Families,YES,NO,Wyndham Grand Desert,July
USA,4,Friends,YES,NO,Wyndham Grand Desert,July
USA,3,Families,YES,NO,Wyndham Grand Desert,August
Canada,5,Couples,YES,NO,Wyndham Grand Desert,August
USA,5,Friends,YES,NO,Wyndham Grand Desert,September
USA,4,Business,YES,NO,Wyndham Grand Desert,September
Ireland,3,Couples,YES,NO,Wyndham Grand Desert,October
UK,4,Couples,YES,NO,Wyndham Grand Desert,October
Japan,3,Families,YES,NO,Wyndham Grand Desert,November
USA,4,Families,YES,NO,Wyndham Grand Desert,November
USA,4,Families,YES,NO,Wyndham Grand Desert,December
Canada,5,Friends,YES,NO,Wyndham Grand Desert,December
Ireland,4,Business,YES,YES,The Venetian Las Vegas Hotel,January
USA,5,Solo,YES,YES,The Venetian Las Vegas Hotel,January
USA,4,Families,YES,YES,The Venetian Las Vegas Hotel,February
Mexico,5,Couples,YES,YES,The Venetian Las Vegas Hotel,February
USA,3,Couples,YES,YES,The Venetian Las Vegas Hotel,March
USA,5,Couples,YES,YES,The Venetian Las Vegas Hotel,March
Israel,5,Couples,YES,YES,The Venetian Las Vegas Hotel,April
Australia,4,Couples,YES,YES,The Venetian Las Vegas Hotel,April
Australia,4,Families,YES,YES,The Venetian Las Vegas Hotel,May
UK,5,Couples,YES,YES,The Venetian Las Vegas Hotel,May
USA,5,Couples,YES,YES,The Venetian Las Vegas Hotel,June
USA,5,Business,YES,YES,The Venetian Las Vegas Hotel,June
Australia,4,Couples,YES,YES,The Venetian Las Vegas Hotel,July
UK,4,Couples,YES,YES,The Venetian Las Vegas Hotel,July
Canada,5,Families,YES,YES,The Venetian Las Vegas Hotel,August
